"","Nr","ID_1","Y","X","Code"
"334",334,0,7.816842,4.729603,1
"335",335,0,7.378185,4.832709,1
"336",336,0,6.932479,4.701002,1
"337",337,0,6.728867,4.593155,1
"338",338,0,6.520747,4.913529,2
"339",339,0,6.221176,4.689903,1
"340",340,0,12.955163,3.868518,8
"341",341,0,12.383262,4.407472,4
"342",342,0,12.186333,4.606096,4
"343",343,0,10.383262,3.407472,2
"344",344,0,9.662334,3.392943,2
"345",345,0,9.204519,4.454275,1
"346",346,0,7.93669,3.812455,4
"347",347,0,6.992007,3.722029,1
"348",348,0,6.865056,2.504899,1
"349",349,0,6.742746,3.68571,1
"350",350,0,11.798206,1.274668,2
"351",351,0,9.907394,1.121538,4
"352",352,0,9.36881,0.733796,3
"353",353,0,9.181054,0.155591,2
"354",354,0,7.442608,0.57449,1
"355",355,0,7.383202,0.586875,1
"356",356,0,7.370755,0.605312,1
"357",357,0,6.57358,0.905374,3
"358",358,0,6.367403,-0.614667,1
"359",359,0,5.822728,0.426391,9
"360",360,0,5.772242,-0.343442,4
"361",361,0,5.475434,-0.891668,1
"362",362,0,9.674823,-1.508489,2
"363",363,0,8.591749,-0.938296,1
"364",364,0,7.232995,-1.642678,1
"365",365,0,6.959427,-1.780887,1
"366",366,0,5.846569,-1.886634,1
"367",367,0,5.766462,-1.543685,1
"368",368,0,5.656366,-1.897975,1
"369",369,0,4.931471,-1.775082,6
"370",370,0,9.016613,-1.947231,1
"371",371,0,7.968074,-2.908798,1
"372",372,0,7.42529,-2.731555,3
"373",373,0,7.125414,-3.483036,1
"374",374,0,5.70668,-3.484001,1
"375",375,0,8.367553,-3.754467,2
"376",376,0,7.451948,-4.172638,1
"377",377,0,6.891434,-4.523984,1
"378",378,0,6.581448,-4.020019,1
"379",379,0,6.50574,-4.12025,1
"380",380,0,5.509545,-4.282694,1
"381",381,0,5.500029,-5.50973,1
"382",382,0,5.324542,-4.782732,1
"383",383,0,6.826563,-6.787354,1
"384",384,0,5.739433,-6.748411,1
"385",385,0,5.725363,-6.575667,1
"386",386,0,4.972814,-6.898754,1
"387",387,0,4.666035,-6.911726,9
"388",388,0,8.838737,-7.634247,3
"389",389,0,8.806938,-7.296675,2
"390",390,0,8.734448,-7.702586,1
"391",391,0,5.915173,-7.85939,1
"392",392,0,5.902164,-7.752505,1
"393",393,0,5.656867,-7.886791,1
"394",394,0,5.218219,-7.78093,1
"395",395,0,4.825012,-8.505793,1
"396",396,0,4.736062,-7.748411,1
"397",397,0,4.675946,-7.575667,1
"398",398,0,7.775243,-8.842125,2
"399",399,0,7.460211,-8.639051,1
"400",400,0,6.751741,-8.830823,1
"401",401,0,6.076438,-8.821394,1
"402",402,0,5.981361,-8.834344,1
"403",403,0,5.969296,-9.708764,1
"404",404,0,5.893638,-9.757307,1
"405",405,0,5.878522,-9.722428,1
"406",406,0,5.787772,-9.917205,1
"407",407,0,5.623574,-9.544976,1
"408",408,0,9.480764,-10.84011,1
"409",409,0,8.995883,-10.277975,1
"410",410,0,8.804283,-10.463216,3
"411",411,0,8.572025,-10.855981,1
"412",412,0,7.866089,-10.573133,1
"413",413,0,14.922099,-10.51061,2
"414",414,0,14.714203,-10.716805,2
"415",415,0,14.558838,-9.798465,2
"416",416,0,14.463396,-10.473867,2
"417",417,0,13.42496,-10.652407,2
"418",418,0,13.066863,-10.6915,2
"419",419,0,12.321376,-11.379775,2
"420",420,0,11.614961,-11.139726,2
"421",421,0,11.018468,-11.091146,1
"422",422,0,10.956753,-10.78813,4
"423",423,0,8.54597,-12.555884,2
"424",424,0,16.600732,-12.367701,8
"425",425,0,16.336973,-11.27262,8
"426",426,0,15.603958,-12.605764,8
"427",427,0,13.921725,-11.946455,2
"428",428,0,10.484076,-12.593005,1
"429",429,0,9.066863,-12.6915,1
"430",430,0,8.946936,-12.993719,8
"431",431,0,7.954548,-12.628447,1
"432",432,0,15.502348,-12.823922,8
"433",433,152,8.611925,-11.645812,1
"434",434,203,14.616454,-2.30437,3
"435",435,288,14.840179,-4.731515,5
"436",436,342,8.049574,-0.042288,4
"437",437,371,14.616336,0.9743,9
"438",438,394,8.094865,-10.363118,1
"439",439,407,3.466138,10.431837,1
"440",440,436,10.366971,-7.841071,1
"441",441,526,15.287391,-11.565407,2
"442",442,530,12.764144,-4.480906,4
"443",443,542,8.425635,-11.789275,4
"444",444,544,15.893864,8.719496,8
"445",445,547,7.790702,3.106202,1
"446",446,550,12.310637,9.300783,4
"447",447,558,12.715562,-6.63861,2
"448",448,568,5.412291,-6.048717,4
"449",449,575,17.373976,-3.043192,8
"450",450,596,7.320297,10.670484,1
"451",451,611,16.147052,-3.758012,8
"452",452,3378,9.020616,-6.739327,4
"453",453,3390,7.56966,-9.126822,4
"454",454,3394,13.562929,2.696469,8
"455",455,3398,12.802258,-7.954949,4
"456",456,3403,10.311587,-9.553106,1
"457",457,3449,6.418901,-7.396882,4
"458",458,3450,12.428692,-0.354972,8
"459",459,3454,12.827817,10.810596,4
"460",460,3467,11.662007,11.271432,4
"461",461,3469,8.664941,8.262368,4
"462",462,3488,17.407361,-3.924449,8
"463",463,3491,14.090614,-8.639387,1
"464",464,3514,12.030286,-0.094771,4
"465",465,3536,8.994642,-13.138454,1
"466",466,3550,15.927193,-9.044708,8
"467",467,3567,16.334966,-9.796368,3
"468",468,3570,13.635085,5.749876,4
"469",469,3576,9.431684,-12.947232,1
"470",470,3589,9.370747,1.985115,1
"471",471,3591,9.366976,4.670552,1
"472",472,3604,13.015323,-4.618997,4
"473",473,3611,15.953925,2.923003,8
"474",474,3617,5.870893,-4.401089,4
"475",475,3621,11.37275,8.424245,9
"476",476,3634,6.447682,-9.829458,1
"477",477,3640,11.502827,-3.753215,4
"478",478,3660,9.085313,-2.92427,2
"479",479,3661,8.531163,3.307943,1
"480",480,3681,10.880354,8.114094,4
"481",481,3702,15.483214,0.120826,8
"482",482,3706,16.160685,9.312049,8
"483",483,3731,4.616688,11.99853,1
"484",484,3741,12.110068,-6.245432,1
"485",485,3745,7.810484,5.366688,1
"486",486,3762,5.019668,10.019554,1
"487",487,3765,13.6704,6.961276,4
"488",488,3777,8.077988,-12.693605,1
"489",489,3783,7.875832,-12.358974,5
"490",490,3791,5.392931,-6.989762,1
"491",491,3803,10.707999,11.38106,4
"492",492,3812,8.54301,-7.419594,1
"493",493,3813,5.320045,-8.569991,1
"494",494,3824,4.732989,11.468421,1
"495",495,3840,11.603283,-8.932851,1
"496",496,3845,15.405765,11.120919,8
"497",497,3849,13.001222,5.241689,4
